iter	Passed	Remaining
416	2372	3317
417	2378	3311
418	2383	3305
419	2391	3302
420	2396	3296
421	2401	3289
422	2408	3285
423	2413	3279
424	2418	3272
425	2426	3269
426	2431	3262
427	2436	3256
428	2442	3250
429	2446	3243
430	2451	3235
431	2456	3230
432	2460	3222
433	2464	3214
434	2468	3206
435	2473	3199
436	2477	3192
437	2481	3184
438	2487	3178
439	2493	3173
440	2497	3166
441	2504	3161
442	2510	3155
443	2514	3148
444	2521	3145
445	2526	3138
446	2530	3131
447	2545	3136
448	2558	3139
449	2565	3135
450	2572	3131
451	2577	3125
452	2581	3117
453	2587	3112
454	2592	3105
455	2597	3098
456	2602	3092
457	2607	3085
458	2611	3078
459	2617	3073
460	2622	3066
461	2627	3059
462	2634	3055
463	2638	3047
464	2644	3042
465	2649	3036
466	2653	3029
467	2658	3021
468	2662	3014
469	2668	3009
470	2673	3003
471	2678	2996
472	2685	2992
473	2690	2985
474	2695	2979
475	2701	2974
476	2706	2967
477	2711	2961
478	2718	2956
479	2722	2949
480	2727	2943
481	2733	2937
482	2738	2930
483	2743	2924
484	2749	2919
485	2754	2913
486	2759	2906
487	2765	2901
488	2769	2894
489	2774	2888
490	2780	2882
491	2784	2875
492	2790	2869
493	2796	2864
494	2800	2857
495	2804	2849
496	2808	2842
497	2815	2837
498	2820	2831
499	2824	2824
500	2830	2819
501	2835	2812
502	2839	2805
503	2845	2799
504	2849	2793
505	2855	2787
506	2860	2781
507	2865	2775
508	2871	2770
509	2878	2765
510	2883	2759
511	2889	2753
512	2895	2749
513	2900	2742
514	2906	2736
515	2912	2731
516	2918	2726
517	2923	2720
518	2930	2715
519	2935	2709
520	2939	2702
521	2945	2697
522	2950	2691
523	2955	2685
524	2962	2680
525	2967	2673
526	2971	2667
527	2977	2661
528	2983	2656
529	2988	2650
530	2994	2645
531	2999	2638
532	3003	2631
533	3010	2626
534	3015	2620
535	3019	2614
536	3026	2609
537	3031	2603
538	3036	2596
539	3042	2591
540	3047	2585
541	3052	2579
542	3059	2574
543	3064	2568
544	3069	2562
545	3077	2558
546	3082	2552
547	3087	2546
548	3094	2541
549	3099	2535
550	3104	2530
551	3110	2524
552	3114	2517
553	3118	2510
554	3124	2505
555	3128	2498
556	3133	2492
557	3141	2488
558	3145	2481
559	3150	2475
560	3156	2470
561	3160	2463
562	3165	2456
563	3170	2450
564	3174	2444
565	3179	2437
566	3183	2430
567	3188	2424
568	3192	2418
569	3197	2412
570	3202	2406
571	3207	2400
572	3211	2393
573	3216	2386
574	3222	2381
575	3227	2375
576	3231	2368
577	3237	2363
578	3242	2357
579	3246	2351
580	3252	2345
581	3257	2339
582	3261	2332
583	3265	2326
584	3271	2320
585	3276	2314
586	3280	2308
587	3286	2303
588	3291	2296
589	3296	2290
590	3302	2285
591	3307	2279
592	3311	2272
593	3317	2267
594	3322	2261
595	3327	2255
596	3332	2249
597	3337	2243
598	3342	2237
599	3347	2231
600	3353	2226
601	3358	2220
602	3363	2214
603	3369	2209
604	3374	2202
605	3378	2196
606	3384	2191
607	3389	2185
608	3394	2179
609	3401	2174
610	3407	2169
611	3411	2163
612	3418	2158
613	3423	2152
614	3427	2145
615	3433	2140
616	3438	2134
617	3442	2128
618	3449	2123
619	3454	2117
620	3459	2111
621	3467	2107
622	3471	2100
623	3475	2094
624	3481	2088
625	3486	2082
626	3490	2076
627	3505	2076
628	3516	2074
629	3524	2069
630	3531	2065
631	3536	2059
632	3540	2052
633	3545	2046
634	3550	2040
635	3555	2034
636	3559	2028
637	3565	2023
638	3571	2017
639	3576	2011
640	3582	2006
641	3586	2000
642	3590	1993
643	3598	1988
644	3603	1983
645	3608	1977
646	3614	1972
647	3619	1966
648	3624	1960
649	3630	1955
650	3636	1949
651	3643	1944
652	3648	1938
653	3653	1932
654	3658	1927
655	3663	1921
656	3668	1915
657	3672	1908
658	3678	1903
659	3683	1897
660	3687	1891
661	3694	1886
662	3698	1880
663	3704	1874
664	3710	1869
665	3717	1864
666	3721	1857
667	3727	1852
668	3732	1846
669	3737	1840
670	3743	1835
671	3747	1829
672	3751	1823
673	3759	1818
674	3764	1812
675	3768	1806
676	3774	1800
677	3779	1794
678	3783	1788
679	3787	1782
680	3792	1776
681	3799	1771
682	3804	1765
683	3809	1759
684	3814	1753
685	3818	1747
686	3824	1742
687	3828	1736
688	3832	1729
689	3838	1724
690	3842	1718
691	3847	1712
692	3851	1706
693	3858	1701
694	3862	1695
695	3867	1689
696	3874	1684
697	3879	1678
698	3886	1673
699	3892	1668
700	3897	1662
701	3903	1657
702	3907	1650
703	3911	1644
704	3916	1638
705	3923	1633
706	3928	1627
707	3932	1622
708	3939	1616
709	3945	1611
710	3951	1606
711	3956	1600
712	3961	1594
713	3968	1589
714	3973	1584
715	3978	1578
716	3985	1572
717	3990	1567
718	3995	1561
719	4002	1556
720	4010	1551
721	4015	1546
722	4020	1540
723	4025	1534
724	4030	1528
725	4036	1523
726	4040	1517
727	4046	1511
728	4053	1506
729	4058	1500
730	4062	1495
731	4069	1489
732	4074	1484
733	4079	1478
734	4086	1473
735	4090	1467
736	4095	1461
737	4100	1455
738	4104	1449
739	4109	1443
740	4118	1439
741	4134	1437
742	4142	1432
743	4151	1428
744	4156	1422
745	4161	1416
746	4166	1411
747	4171	1405
748	4176	1399
749	4182	1394
750	4187	1388
751	4192	1382
752	4198	1377
753	4202	1371
754	4206	1365
755	4211	1359
756	4216	1353
757	4222	1348
758	4226	1342
759	4232	1336
760	4236	1330
761	4240	1324
762	4247	1319
763	4251	1313
764	4256	1307
765	4261	1301
766	4265	1295
767	4269	1289
768	4274	1283
769	4280	1278
770	4285	1272
771	4289	1266
772	4295	1261
773	4300	1255
774	4305	1249
775	4310	1244
776	4315	1238
777	4320	1232
778	4325	1227
779	4330	1221
780	4334	1215
781	4339	1209
782	4345	1204
783	4352	1199
784	4358	1193
785	4363	1187
786	4367	1182
787	4372	1176
788	4378	1170
789	4383	1165
790	4388	1159
791	4395	1154
792	4400	1148
793	4404	1142
794	4410	1137
795	4414	1131
796	4418	1125
797	4424	1120
798	4428	1114
799	4432	1108
800	4436	1102
801	4442	1096
802	4446	1090
803	4450	1084
